start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean,solution
2020-04-23T09:07:13.291291,2020-04-23T09:07:13.323972,0.032681,1,10,1,1,1,1,1,1.0,[4]
2020-04-23T09:07:13.324352,2020-04-23T09:07:13.325413,0.001061,1,1,1,1,1,1,1,1.0,[7]
2020-04-23T09:07:13.325645,2020-04-23T09:07:13.326590,0.000945,1,0,1,1,1,1,1,1.0,[6]
2020-04-23T09:07:13.326820,2020-04-23T09:07:13.327767,0.000947,1,11,1,1,1,1,1,1.0,[5]
2020-04-23T09:07:13.327997,2020-04-23T09:07:13.328955,0.000958,1,4,1,1,1,1,1,1.0,[10]
2020-04-23T09:07:13.329191,2020-04-23T09:07:13.330157,0.000966,1,3,1,1,1,1,1,1.0,[9]
2020-04-23T09:07:13.330391,2020-04-23T09:07:13.331344,0.000953,1,3,1,1,1,1,1,1.0,[9]
2020-04-23T09:07:13.331578,2020-04-23T09:07:13.332546,0.000968,1,2,1,1,1,1,1,1.0,[8]
2020-04-23T09:07:13.332778,2020-04-23T09:07:13.333731,0.000953,1,11,1,1,1,1,1,1.0,[5]
2020-04-23T09:07:13.333959,2020-04-23T09:07:13.334912,0.000953,1,1,1,1,1,1,1,1.0,[7]
2020-04-23T09:07:13.335144,2020-04-23T09:07:13.336102,0.000958,1,10,1,1,1,1,1,1.0,[4]
2020-04-23T09:07:13.336343,2020-04-23T09:07:13.337301,0.000958,1,11,1,1,1,1,1,1.0,[5]
2020-04-23T09:07:13.337530,2020-04-23T09:07:13.338474,0.000944,1,8,1,1,1,1,1,1.0,[2]
2020-04-23T09:07:13.338700,2020-04-23T09:07:13.339685,0.000985,1,1,1,1,1,1,1,1.0,[7]
2020-04-23T09:07:13.339918,2020-04-23T09:07:13.340902,0.000984,1,9,1,1,1,1,1,1.0,[3]
2020-04-23T09:07:13.341130,2020-04-23T09:07:13.342095,0.000965,1,6,1,1,1,1,1,1.0,[0]
2020-04-23T09:07:13.342318,2020-04-23T09:07:13.343278,0.00096,1,0,1,1,1,1,1,1.0,[6]
2020-04-23T09:07:13.343509,2020-04-23T09:07:13.344479,0.00097,1,0,1,1,1,1,1,1.0,[6]
2020-04-23T09:07:13.344709,2020-04-23T09:07:13.345661,0.000952,1,1,1,1,1,1,1,1.0,[7]
2020-04-23T09:07:13.345895,2020-04-23T09:07:13.346842,0.000947,1,3,1,1,1,1,1,1.0,[9]
2020-04-23T09:07:13.348056,2020-04-23T09:07:13.350516,0.00246,2,3 8,1,2,2,2,2,1.5,"[9, 2]"
2020-04-23T09:07:13.350939,2020-04-23T09:07:13.353960,0.003021,2,0 8,1,3,2,2,2,1.6875,"[2, 6]"
2020-04-23T09:07:13.354394,2020-04-23T09:07:13.357365,0.002971,2,11 10,1,3,2,2,2,1.6875,"[4, 5]"
2020-04-23T09:07:13.357797,2020-04-23T09:07:13.360775,0.002978,2,8 6,1,3,2,2,2,1.6875,"[0, 2]"
2020-04-23T09:07:13.361205,2020-04-23T09:07:13.364168,0.002963,2,7 9,1,3,2,2,2,1.6875,"[3, 1]"
2020-04-23T09:07:13.364609,2020-04-23T09:07:13.367557,0.002948,2,0 2,1,3,2,2,2,1.6875,"[8, 6]"
2020-04-23T09:07:13.367999,2020-04-23T09:07:13.370975,0.002976,2,6 5,1,3,2,2,2,1.6875,"[11, 0]"
2020-04-23T09:07:13.371582,2020-04-23T09:07:13.374558,0.002976,2,2 3,1,3,2,2,2,1.6875,"[9, 8]"
2020-04-23T09:07:13.375172,2020-04-23T09:07:13.378137,0.002965,2,1 1,1,3,2,2,2,1.6875,"[7, 7]"
2020-04-23T09:07:13.378747,2020-04-23T09:07:13.381717,0.00297,2,1 5,1,3,2,2,2,1.6875,"[11, 7]"
2020-04-23T09:07:13.382330,2020-04-23T09:07:13.386716,0.004386,2,9 4,1,3,2,2,2,1.6875,"[10, 3]"
2020-04-23T09:07:13.387335,2020-04-23T09:07:13.390311,0.002976,2,11 7,1,3,2,2,2,1.6875,"[1, 5]"
2020-04-23T09:07:13.390745,2020-04-23T09:07:13.393716,0.002971,2,1 6,1,3,2,2,2,1.6875,"[0, 7]"
2020-04-23T09:07:13.394152,2020-04-23T09:07:13.396107,0.001955,2,8 4,1,2,2,2,2,1.5,"[10, 2]"
2020-04-23T09:07:13.396543,2020-04-23T09:07:13.399483,0.00294,2,9 5,1,3,2,2,2,1.6875,"[11, 3]"
2020-04-23T09:07:13.400100,2020-04-23T09:07:13.403124,0.003024,2,3 11,1,3,2,2,2,1.6875,"[5, 9]"
2020-04-23T09:07:13.403799,2020-04-23T09:07:13.406775,0.002976,2,0 10,1,3,2,2,2,1.6875,"[4, 6]"
2020-04-23T09:07:13.407394,2020-04-23T09:07:13.410368,0.002974,2,4 1,1,3,2,2,2,1.6875,"[7, 10]"
2020-04-23T09:07:13.410987,2020-04-23T09:07:13.413942,0.002955,2,1 6,1,3,2,2,2,1.6875,"[0, 7]"
2020-04-23T09:07:13.414378,2020-04-23T09:07:13.417330,0.002952,2,7 10,1,3,2,2,2,1.6875,"[4, 1]"
2020-04-23T09:07:13.418473,2020-04-23T09:07:13.425666,0.007193,3,2 5 5,1,7,3,3,3,2.4125,"[5, 5, 8]"
2020-04-23T09:07:13.426685,2020-04-23T09:07:13.433787,0.007102,3,11 10 10,1,7,3,3,3,2.2875,"[5, 10, 10]"
2020-04-23T09:07:13.434978,2020-04-23T09:07:13.442084,0.007106,3,2 11 3,1,7,3,3,3,2.3333333333333335,"[8, 1, 9]"
2020-04-23T09:07:13.443096,2020-04-23T09:07:13.451236,0.00814,3,4 11 8,1,8,3,3,3,2.3777777777777778,"[5, 10, 1]"
2020-04-23T09:07:13.452627,2020-04-23T09:07:13.457704,0.005077,3,0 3 0,1,5,3,3,3,2.230769230769231,"[6, 9, 6]"
2020-04-23T09:07:13.458700,2020-04-23T09:07:13.462780,0.00408,3,4 1 3,1,4,3,3,3,2.261904761904762,"[9, 7, 10]"
2020-04-23T09:07:13.463409,2020-04-23T09:07:13.468489,0.00508,3,5 3 10,1,5,3,3,3,2.230769230769231,"[4, 9, 11]"
2020-04-23T09:07:13.469491,2020-04-23T09:07:13.509568,0.040077,3,10 7 2,1,30,27,3,4,3.4257142857142857,"[8, 1, 4]"
2020-04-23T09:07:13.512999,2020-04-23T09:07:13.514062,0.001063,3,7 0 1,1,1,1,1,1,1.0,[6]
2020-04-23T09:07:13.514297,2020-04-23T09:07:13.518914,0.004617,3,2 10 2,1,5,3,3,3,2.230769230769231,"[8, 4, 8]"
2020-04-23T09:07:13.519621,2020-04-23T09:07:13.524750,0.005129,3,9 1 6,1,6,3,3,3,2.2096774193548385,"[0, 7, 3]"
2020-04-23T09:07:13.525515,2020-04-23T09:07:13.567320,0.041805,3,7 8 4,1,37,27,3,6,3.670353982300885,"[10, 2, 1]"
2020-04-23T09:07:13.570729,2020-04-23T09:07:13.574778,0.004049,3,8 8 1,1,5,3,3,3,2.230769230769231,"[7, 8, 8]"
2020-04-23T09:07:13.575532,2020-04-23T09:07:13.578768,0.003236,3,10 8 9,1,4,3,3,3,2.2,"[2, 3, 4]"
2020-04-23T09:07:13.579386,2020-04-23T09:07:13.583507,0.004121,3,5 2 0,1,5,3,3,3,2.230769230769231,"[6, 8, 11]"
2020-04-23T09:07:13.584271,2020-04-23T09:07:13.585126,0.000855,3,7 0 1,1,1,1,1,1,1.0,[6]
2020-04-23T09:07:13.585302,2020-04-23T09:07:13.589457,0.004155,3,5 4 3,1,5,3,3,3,2.0384615384615383,"[9, 11, 10]"
2020-04-23T09:07:13.590265,2020-04-23T09:07:13.593493,0.003228,3,9 1 1,1,4,3,3,3,2.0238095238095237,"[7, 7, 3]"
2020-04-23T09:07:13.594099,2020-04-23T09:07:13.625668,0.031569,3,1 8 10,1,32,25,3,7,4.16969696969697,"[4, 2, 7]"
2020-04-23T09:07:13.627475,2020-04-23T09:07:13.634030,0.006555,3,10 10 5,1,8,3,3,3,2.3777777777777778,"[4, 11, 4]"
2020-04-23T09:07:13.635735,2020-04-23T09:07:13.645678,0.009943,4,1 3 3 1,1,12,4,4,4,3.054054054054054,"[7, 3, 3, 7]"
2020-04-23T09:07:13.647449,2020-04-23T09:07:13.655563,0.008114,4,9 0 1 11,1,10,4,4,4,2.8545454545454545,"[5, 6, 7, 3]"
2020-04-23T09:07:13.657044,2020-04-23T09:07:13.886651,0.229607,4,0 5 1 8,1,148,70,4,12,5.4798551380715255,"[2, 6, 8, 7]"
2020-04-23T09:07:13.893274,2020-04-23T09:07:13.900038,0.006764,4,11 8 10 11,1,8,4,4,4,2.792682926829268,"[5, 4, 2, 5]"
2020-04-23T09:07:13.901093,2020-04-23T09:07:14.749490,0.848397,4,4 3 0 9,1,382,88,4,11,5.975233721502378,"[2, 10, 8, 10]"
2020-04-23T09:07:14.760062,2020-04-23T09:07:16.555374,1.795312,4,5 0 1 4,1,877,4,4,13,7.225043190866071,"[11, 8, 9, 10]"
2020-04-23T09:07:16.591654,2020-04-23T09:07:16.638854,0.0472,4,2 4 0 0,1,42,28,4,7,4.521415270018622,"[0, 0, 10, 8]"
2020-04-23T09:07:16.641028,2020-04-23T09:07:16.648286,0.007258,4,1 9 10 10,1,9,4,4,4,2.975,"[4, 4, 3, 7]"
2020-04-23T09:07:16.649627,2020-04-23T09:07:16.656012,0.006385,4,4 1 3 1,1,8,4,4,4,2.6707317073170733,"[7, 9, 7, 10]"
2020-04-23T09:07:16.657071,2020-04-23T09:07:16.664267,0.007196,4,9 9 8 6,1,9,4,4,4,2.975,"[2, 9, 4, 9]"
2020-04-23T09:07:16.665618,2020-04-23T09:07:16.693087,0.027469,4,6 4 9 9,1,28,24,4,7,4.535460992907802,"[9, 9, 10, 0]"
2020-04-23T09:07:16.694462,2020-04-23T09:07:16.696140,0.001678,4,1 2 0 7,1,2,2,2,2,1.5,"[11, 6]"
2020-04-23T09:07:16.696473,2020-04-23T09:07:16.744199,0.047726,4,9 7 4 0,1,45,20,6,7,4.81112277019937,"[1, 0, 0, 9, 0, 3]"
2020-04-23T09:07:16.755128,2020-04-23T09:07:16.761573,0.006445,4,4 2 1 0,1,8,4,4,4,2.963636363636364,"[6, 7, 8, 10]"
2020-04-23T09:07:16.762774,2020-04-23T09:07:16.808420,0.045646,4,11 9 4 7,1,50,4,4,8,5.139500734214391,"[1, 10, 3, 5]"
2020-04-23T09:07:16.810851,2020-04-23T09:07:17.769785,0.958934,4,9 9 0 10,1,445,108,4,13,8.281781045751634,"[4, 6, 3, 3]"
2020-04-23T09:07:17.780882,2020-04-23T09:07:17.940614,0.159732,4,10 3 7 9,1,124,30,4,9,5.608848667672197,"[2, 4, 6, 5]"
2020-04-23T09:07:17.945966,2020-04-23T09:07:18.549297,0.603331,4,10 10 2 10,1,341,84,4,12,6.581049500743573,"[4, 8, 4, 4]"
2020-04-23T09:07:18.558004,2020-04-23T09:07:18.698290,0.140286,4,0 2 11 6,1,102,54,4,7,4.6886870355078445,"[1, 2, 10, 7]"
2020-04-23T09:07:18.702322,2020-04-23T09:07:18.708930,0.006608,4,11 1 10 10,1,8,4,4,4,2.792682926829268,"[4, 4, 7, 5]"
2020-04-23T09:07:18.711041,2020-04-23T09:07:19.101485,0.390444,5,6 7 3 6 5,1,336,29,5,13,8.796489336208962,"[11, 1, 11, 6, 6]"
2020-04-23T09:07:19.128500,2020-04-23T09:07:19.133103,0.004603,5,6 11 0 0 7,1,5,3,3,3,2.230769230769231,"[6, 3, 1]"
2020-04-23T09:07:19.133726,2020-04-23T09:07:20.189631,1.055905,5,9 6 9 6 11,1,677,95,9,13,8.495245840110096,"[0, 5, 3, 0, 3, 11, 0, 3, 6]"
2020-04-23T09:07:20.318754,2020-04-23T09:07:20.393417,0.074663,5,1 9 8 0 10,1,83,5,5,8,5.170648464163823,"[4, 6, 2, 3, 7]"
2020-04-23T09:07:20.402315,2020-04-23T09:07:20.458277,0.055962,5,11 10 10 1 9,1,53,31,5,7,5.153784860557769,"[5, 10, 0, 9, 10]"
2020-04-23T09:07:20.463460,2020-04-23T09:07:23.494501,3.031041,5,6 8 7 4 0,1,969,225,7,15,9.157535780958307,"[5, 3, 1, 10, 6, 11, 0]"
2020-04-23T09:07:23.628651,2020-04-23T09:07:30.828660,7.200009,5,3 11 11 7 5,1,3877,5,5,17,10.343313573126117,"[10, 3, 4, 5, 9]"
2020-04-23T09:07:30.985665,2020-04-23T09:07:43.064628,12.078963,5,3 1 0 9 8,1,4310,5,5,19,10.564023416711017,"[2, 2, 10, 11, 8]"
2020-04-23T09:07:43.249776,2020-04-23T09:07:43.267503,0.017727,5,0 4 6 1 8,1,6,3,3,3,2.1714285714285713,"[2, 9, 7]"
