start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean,solution
2020-04-24T03:45:09.692871,2020-04-24T03:45:09.720919,0.028048,1,10,1,1,1,1,1,1.0,[4]
2020-04-24T03:45:09.721177,2020-04-24T03:45:09.722134,0.000957,1,1,1,1,1,1,1,1.0,[7]
2020-04-24T03:45:09.722366,2020-04-24T03:45:09.723356,0.00099,1,0,1,1,1,1,1,1.0,[6]
2020-04-24T03:45:09.723588,2020-04-24T03:45:09.724520,0.000932,1,11,1,1,1,1,1,1.0,[5]
2020-04-24T03:45:09.724751,2020-04-24T03:45:09.725685,0.000934,1,4,1,1,1,1,1,1.0,[10]
2020-04-24T03:45:09.725919,2020-04-24T03:45:09.726854,0.000935,1,3,1,1,1,1,1,1.0,[9]
2020-04-24T03:45:09.727088,2020-04-24T03:45:09.728005,0.000917,1,3,1,1,1,1,1,1.0,[9]
2020-04-24T03:45:09.728238,2020-04-24T03:45:09.729168,0.00093,1,2,1,1,1,1,1,1.0,[8]
2020-04-24T03:45:09.729399,2020-04-24T03:45:09.730324,0.000925,1,11,1,1,1,1,1,1.0,[5]
2020-04-24T03:45:09.730554,2020-04-24T03:45:09.731474,0.00092,1,1,1,1,1,1,1,1.0,[7]
2020-04-24T03:45:09.731704,2020-04-24T03:45:09.732641,0.000937,1,10,1,1,1,1,1,1.0,[4]
2020-04-24T03:45:09.732870,2020-04-24T03:45:09.733797,0.000927,1,11,1,1,1,1,1,1.0,[5]
2020-04-24T03:45:09.734027,2020-04-24T03:45:09.734951,0.000924,1,8,1,1,1,1,1,1.0,[2]
2020-04-24T03:45:09.735176,2020-04-24T03:45:09.736096,0.00092,1,1,1,1,1,1,1,1.0,[7]
2020-04-24T03:45:09.736341,2020-04-24T03:45:09.737267,0.000926,1,9,1,1,1,1,1,1.0,[3]
2020-04-24T03:45:09.737494,2020-04-24T03:45:09.738465,0.000971,1,6,1,1,1,1,1,1.0,[0]
2020-04-24T03:45:09.738686,2020-04-24T03:45:09.739612,0.000926,1,0,1,1,1,1,1,1.0,[6]
2020-04-24T03:45:09.739843,2020-04-24T03:45:09.740778,0.000935,1,0,1,1,1,1,1,1.0,[6]
2020-04-24T03:45:09.741007,2020-04-24T03:45:09.741930,0.000923,1,1,1,1,1,1,1,1.0,[7]
2020-04-24T03:45:09.742162,2020-04-24T03:45:09.743086,0.000924,1,3,1,1,1,1,1,1.0,[9]
2020-04-24T03:45:09.744124,2020-04-24T03:45:09.746191,0.002067,2,3 8,1,2,2,2,2,1.5,"[9, 2]"
2020-04-24T03:45:09.746621,2020-04-24T03:45:09.749549,0.002928,2,0 8,1,3,2,2,2,1.6875,"[2, 6]"
2020-04-24T03:45:09.749981,2020-04-24T03:45:09.752856,0.002875,2,11 10,1,3,2,2,2,1.6875,"[5, 4]"
2020-04-24T03:45:09.753287,2020-04-24T03:45:09.756217,0.00293,2,8 6,1,3,2,2,2,1.6875,"[0, 2]"
2020-04-24T03:45:09.756655,2020-04-24T03:45:09.761863,0.005208,2,7 9,1,3,2,2,2,1.6875,"[3, 1]"
2020-04-24T03:45:09.762293,2020-04-24T03:45:09.765135,0.002842,2,0 2,1,3,2,2,2,1.6875,"[8, 6]"
2020-04-24T03:45:09.765573,2020-04-24T03:45:09.768515,0.002942,2,6 5,1,3,2,2,2,1.6875,"[11, 0]"
2020-04-24T03:45:09.769125,2020-04-24T03:45:09.771955,0.00283,2,2 3,1,3,2,2,2,1.6875,"[9, 8]"
2020-04-24T03:45:09.772580,2020-04-24T03:45:09.775532,0.002952,2,1 1,1,3,2,2,2,1.6875,"[7, 7]"
2020-04-24T03:45:09.776145,2020-04-24T03:45:09.778999,0.002854,2,1 5,1,3,2,2,2,1.6875,"[11, 7]"
2020-04-24T03:45:09.779610,2020-04-24T03:45:09.782453,0.002843,2,9 4,1,3,2,2,2,1.6875,"[10, 3]"
2020-04-24T03:45:09.783062,2020-04-24T03:45:09.785903,0.002841,2,11 7,1,3,2,2,2,1.6875,"[1, 5]"
2020-04-24T03:45:09.786337,2020-04-24T03:45:09.789184,0.002847,2,1 6,1,3,2,2,2,1.6875,"[0, 7]"
2020-04-24T03:45:09.789618,2020-04-24T03:45:09.791512,0.001894,2,8 4,1,2,2,2,2,1.5,"[10, 2]"
2020-04-24T03:45:09.791932,2020-04-24T03:45:09.794820,0.002888,2,9 5,1,3,2,2,2,1.6875,"[11, 3]"
2020-04-24T03:45:09.795432,2020-04-24T03:45:09.798273,0.002841,2,3 11,1,3,2,2,2,1.6875,"[5, 9]"
2020-04-24T03:45:09.798889,2020-04-24T03:45:09.801733,0.002844,2,0 10,1,3,2,2,2,1.6875,"[4, 6]"
2020-04-24T03:45:09.802349,2020-04-24T03:45:09.804871,0.002522,2,4 1,1,3,2,2,2,1.6875,"[7, 10]"
2020-04-24T03:45:09.805396,2020-04-24T03:45:09.807886,0.00249,2,1 6,1,3,2,2,2,1.6875,"[0, 7]"
2020-04-24T03:45:09.808256,2020-04-24T03:45:09.810751,0.002495,2,7 10,1,3,2,2,2,1.6875,"[4, 1]"
2020-04-24T03:45:09.811740,2020-04-24T03:45:09.816134,0.004394,3,2 5 5,1,5,3,3,3,2.230769230769231,"[11, 11, 8]"
2020-04-24T03:45:09.816989,2020-04-24T03:45:09.817878,0.000889,3,4 11 10,1,1,1,1,1,1.0,[5]
2020-04-24T03:45:09.818074,2020-04-24T03:45:09.822360,0.004286,3,10 1 9,1,5,3,3,3,2.230769230769231,"[3, 7, 4]"
2020-04-24T03:45:09.823201,2020-04-24T03:45:09.827530,0.004329,3,8 11 3,1,5,3,3,3,2.230769230769231,"[9, 5, 2]"
2020-04-24T03:45:09.828217,2020-04-24T03:45:09.832489,0.004272,3,6 4 11,1,5,3,3,3,2.230769230769231,"[5, 10, 0]"
2020-04-24T03:45:09.833316,2020-04-24T03:45:09.838511,0.005195,3,10 5 0,1,6,3,3,3,2.3142857142857145,"[4, 11, 9]"
2020-04-24T03:45:09.839521,2020-04-24T03:45:09.842901,0.00338,3,5 6 4,1,4,3,3,3,2.0238095238095237,"[11, 3, 10]"
2020-04-24T03:45:09.843586,2020-04-24T03:45:09.869696,0.02611,3,9 11 3,1,27,11,3,4,3.0482758620689654,"[9, 5, 3]"
2020-04-24T03:45:09.873174,2020-04-24T03:45:09.877526,0.004352,3,4 11 9,1,5,3,3,3,2.230769230769231,"[5, 10, 0]"
2020-04-24T03:45:09.878362,2020-04-24T03:45:09.882660,0.004298,3,6 5 3,1,5,3,3,3,2.230769230769231,"[9, 11, 0]"
2020-04-24T03:45:09.883495,2020-04-24T03:45:09.884347,0.000852,3,7 0 1,1,1,1,1,1,1.0,[6]
2020-04-24T03:45:09.884544,2020-04-24T03:45:09.888856,0.004312,3,2 10 2,1,5,3,3,3,2.230769230769231,"[8, 4, 8]"
2020-04-24T03:45:09.889544,2020-04-24T03:45:09.895503,0.005959,3,9 1 6,1,7,3,3,3,2.1944444444444446,"[5, 7, 0]"
2020-04-24T03:45:09.896657,2020-04-24T03:45:09.900035,0.003378,3,8 4 8,1,4,3,3,3,2.0238095238095237,"[2, 10, 2]"
2020-04-24T03:45:09.900718,2020-04-24T03:45:09.905920,0.005202,3,11 1 10,1,6,3,3,3,2.2096774193548385,"[4, 7, 5]"
2020-04-24T03:45:09.906914,2020-04-24T03:45:09.910351,0.003437,3,10 5 1,1,4,3,3,3,2.261904761904762,"[4, 11, 8]"
2020-04-24T03:45:09.911028,2020-04-24T03:45:09.918130,0.007102,3,2 7 0,1,8,3,3,3,2.488888888888889,"[1, 6, 8]"
2020-04-24T03:45:09.919215,2020-04-24T03:45:09.958006,0.038791,3,2 1 10,1,34,23,3,6,3.8254716981132075,"[4, 7, 8]"
2020-04-24T03:45:09.959253,2020-04-24T03:45:09.962700,0.003447,3,4 3 0,1,4,3,3,3,2.0238095238095237,"[6, 9, 10]"
2020-04-24T03:45:09.963386,2020-04-24T03:45:09.966754,0.003368,3,1 1 11,1,4,3,3,3,2.0238095238095237,"[5, 1, 1]"
2020-04-24T03:45:09.968017,2020-04-24T03:45:10.800702,0.832685,4,8 10 7 8,1,423,4,4,12,7.391170915958451,"[2, 1, 4, 2]"
2020-04-24T03:45:10.810733,2020-04-24T03:45:10.838635,0.027902,4,10 8 4 1,1,25,18,4,5,3.803125,"[7, 10, 2, 4]"
2020-04-24T03:45:10.842513,2020-04-24T03:45:10.869085,0.026572,4,3 10 10 8,1,29,4,4,6,4.188053097345133,"[2, 4, 4, 9]"
2020-04-24T03:45:10.871757,2020-04-24T03:45:10.912042,0.040285,4,2 11 7 8,1,40,22,4,7,4.514830508474576,"[3, 4, 1, 9]"
2020-04-24T03:45:10.916082,2020-04-24T03:45:10.952992,0.03691,4,5 0 5 3,1,38,4,4,8,5.029680365296803,"[9, 11, 6, 11]"
2020-04-24T03:45:10.954959,2020-04-24T03:45:22.309827,11.354868,4,6 10 11 3,1,3689,4,4,19,9.658862335478446,"[9, 5, 4, 0]"
2020-04-24T03:45:22.446146,2020-04-24T03:45:22.495565,0.049419,4,11 7 3 4,1,37,28,4,5,4.131696428571429,"[10, 9, 1, 5]"
2020-04-24T03:45:22.499694,2020-04-24T03:45:22.504835,0.005141,4,4 4 2 11,1,6,4,4,4,2.370967741935484,"[5, 8, 10, 10]"
2020-04-24T03:45:22.505733,2020-04-24T03:45:22.508064,0.002331,4,2 5 8 3,1,3,2,2,2,1.6875,"[7, 9]"
2020-04-24T03:45:22.508546,2020-04-24T03:45:22.515951,0.007405,4,3 2 3 7,1,9,4,4,4,2.975,"[3, 8, 4, 3]"
2020-04-24T03:45:22.517307,2020-04-24T03:45:23.291146,0.773839,4,7 8 9 1,1,610,4,4,14,8.28788140720892,"[6, 5, 4, 0]"
2020-04-24T03:45:23.321140,2020-04-24T03:45:23.330581,0.009441,4,9 7 11 11,1,10,4,4,4,3.0615384615384613,"[5, 5, 1, 3]"
2020-04-24T03:45:23.331931,2020-04-24T03:45:23.340062,0.008131,4,8 5 10 7,1,10,4,4,4,2.6416666666666666,"[4, 11, 8, 8]"
2020-04-24T03:45:23.341692,2020-04-24T03:45:23.356463,0.014771,4,2 7 8 5,1,16,10,4,5,3.2944444444444443,"[11, 2, 1, 8]"
2020-04-24T03:45:23.358673,2020-04-24T03:45:23.506734,0.148061,4,4 9 7 3,1,96,42,4,8,4.397590361445783,"[8, 4, 2, 10]"
2020-04-24T03:45:23.518579,2020-04-24T03:45:23.739531,0.220952,4,9 11 9 0,1,137,30,6,10,5.778440562420111,"[3, 5, 3, 0, 11, 6]"
2020-04-24T03:45:23.761722,2020-04-24T03:45:23.763854,0.002132,4,0 11 4 9,1,2,2,2,2,1.5,"[10, 5]"
2020-04-24T03:45:23.764179,2020-04-24T03:45:23.766510,0.002331,4,3 2 9 10,1,3,2,2,2,1.6875,"[4, 8]"
2020-04-24T03:45:23.766844,2020-04-24T03:45:23.836373,0.069529,4,6 8 5 1,1,63,30,4,7,4.839583333333334,"[7, 11, 2, 0]"
2020-04-24T03:45:23.842590,2020-04-24T03:45:23.928664,0.086074,4,2 6 10 8,1,76,36,6,9,5.1891891891891895,"[0, 7, 5, 2, 1, 8]"
2020-04-24T03:45:23.941455,2020-04-24T03:45:23.974522,0.033067,5,11 1 9 1 0,1,36,5,5,8,4.7949308755760365,"[1, 1, 5, 8, 4]"
2020-04-24T03:45:23.978322,2020-04-24T03:45:24.044867,0.066545,5,8 7 0 7 2,1,68,5,5,8,5.830022075055187,"[5, 10, 6, 5, 3]"
