start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean,solution
2020-04-24T15:53:15.600447,2020-04-24T15:53:15.629299,0.028852,1,10,1,1,1,1,1,1,[4]
2020-04-24T15:53:15.629771,2020-04-24T15:53:15.631468,0.001697,1,1,1,1,1,1,1,1,[7]
2020-04-24T15:53:15.631892,2020-04-24T15:53:15.633585,0.001693,1,0,1,1,1,1,1,1,[6]
2020-04-24T15:53:15.634005,2020-04-24T15:53:15.635684,0.001679,1,11,1,1,1,1,1,1,[5]
2020-04-24T15:53:15.636103,2020-04-24T15:53:15.637396,0.001293,1,4,1,1,1,1,1,1,[10]
2020-04-24T15:53:15.637632,2020-04-24T15:53:15.638609,0.000977,1,3,1,1,1,1,1,1,[9]
2020-04-24T15:53:15.638847,2020-04-24T15:53:15.639952,0.001105,1,3,1,1,1,1,1,1,[9]
2020-04-24T15:53:15.640188,2020-04-24T15:53:15.641232,0.001044,1,2,1,1,1,1,1,1,[8]
2020-04-24T15:53:15.641466,2020-04-24T15:53:15.642487,0.001021,1,11,1,1,1,1,1,1,[5]
2020-04-24T15:53:15.642720,2020-04-24T15:53:15.643697,0.000977,1,1,1,1,1,1,1,1,[7]
2020-04-24T15:53:15.643931,2020-04-24T15:53:15.644976,0.001045,1,10,1,1,1,1,1,1,[4]
2020-04-24T15:53:15.645209,2020-04-24T15:53:15.646195,0.000986,1,11,1,1,1,1,1,1,[5]
2020-04-24T15:53:15.646425,2020-04-24T15:53:15.647404,0.000979,1,8,1,1,1,1,1,1,[2]
2020-04-24T15:53:15.647632,2020-04-24T15:53:15.648778,0.001146,1,1,1,1,1,1,1,1,[7]
2020-04-24T15:53:15.649011,2020-04-24T15:53:15.650117,0.001106,1,9,1,1,1,1,1,1,[3]
2020-04-24T15:53:15.650352,2020-04-24T15:53:15.651371,0.001019,1,6,1,1,1,1,1,1,[0]
2020-04-24T15:53:15.651595,2020-04-24T15:53:15.652619,0.001024,1,0,1,1,1,1,1,1,[6]
2020-04-24T15:53:15.652851,2020-04-24T15:53:15.653874,0.001023,1,0,1,1,1,1,1,1,[6]
2020-04-24T15:53:15.654105,2020-04-24T15:53:15.655129,0.001024,1,1,1,1,1,1,1,1,[7]
2020-04-24T15:53:15.655364,2020-04-24T15:53:15.656475,0.001111,1,3,1,1,1,1,1,1,[9]
2020-04-24T15:53:15.657604,2020-04-24T15:53:15.660115,0.002511,2,3 8,1,2,2,2,2,1.5,"[9, 2]"
2020-04-24T15:53:15.660550,2020-04-24T15:53:15.663757,0.003207,2,0 8,1,3,2,2,2,1.6875,"[2, 6]"
2020-04-24T15:53:15.664198,2020-04-24T15:53:15.667374,0.003176,2,11 10,1,3,2,2,2,1.6875,"[5, 4]"
2020-04-24T15:53:15.667810,2020-04-24T15:53:15.670945,0.003135,2,8 6,1,3,2,2,2,1.6875,"[0, 2]"
2020-04-24T15:53:15.671380,2020-04-24T15:53:15.675984,0.004604,2,7 9,1,3,2,2,2,1.6875,"[3, 1]"
2020-04-24T15:53:15.676427,2020-04-24T15:53:15.679449,0.003022,2,0 2,1,3,2,2,2,1.6875,"[8, 6]"
2020-04-24T15:53:15.679886,2020-04-24T15:53:15.683019,0.003133,2,6 5,1,3,2,2,2,1.6875,"[11, 0]"
2020-04-24T15:53:15.683632,2020-04-24T15:53:15.686701,0.003069,2,2 3,1,3,2,2,2,1.6875,"[8, 9]"
2020-04-24T15:53:15.687327,2020-04-24T15:53:15.690607,0.00328,2,1 1,1,3,2,2,2,1.6875,"[1, 1]"
2020-04-24T15:53:15.691039,2020-04-24T15:53:15.694227,0.003188,2,1 5,1,3,2,2,2,1.6875,"[11, 7]"
2020-04-24T15:53:15.694847,2020-04-24T15:53:15.697922,0.003075,2,9 4,1,3,2,2,2,1.6875,"[10, 3]"
2020-04-24T15:53:15.698540,2020-04-24T15:53:15.701860,0.00332,2,11 7,1,3,2,2,2,1.6875,"[1, 5]"
2020-04-24T15:53:15.702296,2020-04-24T15:53:15.705313,0.003017,2,1 6,1,3,2,2,2,1.6875,"[7, 0]"
2020-04-24T15:53:15.705927,2020-04-24T15:53:15.708124,0.002197,2,8 4,1,2,2,2,2,1.5,"[10, 2]"
2020-04-24T15:53:15.708558,2020-04-24T15:53:15.711708,0.00315,2,9 5,1,3,2,2,2,1.6875,"[11, 3]"
2020-04-24T15:53:15.712335,2020-04-24T15:53:15.715488,0.003153,2,3 11,1,3,2,2,2,1.6875,"[5, 9]"
2020-04-24T15:53:15.716115,2020-04-24T15:53:15.719209,0.003094,2,0 10,1,3,2,2,2,1.6875,"[4, 6]"
2020-04-24T15:53:15.719830,2020-04-24T15:53:15.722888,0.003058,2,4 1,1,3,2,2,2,1.6875,"[7, 10]"
2020-04-24T15:53:15.723517,2020-04-24T15:53:15.726670,0.003153,2,1 6,1,3,2,2,2,1.6875,"[7, 0]"
2020-04-24T15:53:15.727280,2020-04-24T15:53:15.730294,0.003014,2,7 10,1,3,2,2,2,1.6875,"[4, 1]"
2020-04-24T15:53:15.731381,2020-04-24T15:53:15.737756,0.006375,3,2 5 5,1,6,3,3,3,2.314285714,"[5, 5, 8]"
2020-04-24T15:53:15.738774,2020-04-24T15:53:15.739835,0.001061,3,4 11 10,1,1,1,1,1,1,[5]
2020-04-24T15:53:15.740068,2020-04-24T15:53:15.745456,0.005388,3,10 1 9,1,5,3,3,3,2.230769231,"[3, 7, 4]"
