start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean,solution
2020-04-20T13:05:22.111087,2020-04-20T13:05:22.139891,0.028804,1,10,1,1,1,1,1,1.0,[4]
2020-04-20T13:05:22.140083,2020-04-20T13:05:22.141115,0.001032,1,1,1,1,1,1,1,1.0,[7]
2020-04-20T13:05:22.141225,2020-04-20T13:05:22.141995,0.00077,1,0,1,1,1,1,1,1.0,[6]
2020-04-20T13:05:22.142105,2020-04-20T13:05:22.142873,0.000768,1,11,1,1,1,1,1,1.0,[5]
2020-04-20T13:05:22.142982,2020-04-20T13:05:22.143754,0.000772,1,4,1,1,1,1,1,1.0,[10]
2020-04-20T13:05:22.143865,2020-04-20T13:05:22.144651,0.000786,1,3,1,1,1,1,1,1.0,[9]
2020-04-20T13:05:22.144762,2020-04-20T13:05:22.145529,0.000767,1,3,1,1,1,1,1,1.0,[9]
2020-04-20T13:05:22.145639,2020-04-20T13:05:22.146407,0.000768,1,2,1,1,1,1,1,1.0,[8]
2020-04-20T13:05:22.146515,2020-04-20T13:05:22.147287,0.000772,1,11,1,1,1,1,1,1.0,[5]
2020-04-20T13:05:22.147396,2020-04-20T13:05:22.148163,0.000767,1,1,1,1,1,1,1,1.0,[7]
2020-04-20T13:05:22.148273,2020-04-20T13:05:22.149057,0.000784,1,10,1,1,1,1,1,1.0,[4]
2020-04-20T13:05:22.149166,2020-04-20T13:05:22.149940,0.000774,1,11,1,1,1,1,1,1.0,[5]
2020-04-20T13:05:22.150049,2020-04-20T13:05:22.150824,0.000775,1,8,1,1,1,1,1,1.0,[2]
2020-04-20T13:05:22.150932,2020-04-20T13:05:22.151706,0.000774,1,1,1,1,1,1,1,1.0,[7]
2020-04-20T13:05:22.151817,2020-04-20T13:05:22.152606,0.000789,1,9,1,1,1,1,1,1.0,[3]
2020-04-20T13:05:22.152714,2020-04-20T13:05:22.153486,0.000772,1,6,1,1,1,1,1,1.0,[0]
2020-04-20T13:05:22.153590,2020-04-20T13:05:22.154347,0.000757,1,0,1,1,1,1,1,1.0,[6]
2020-04-20T13:05:22.154456,2020-04-20T13:05:22.155213,0.000757,1,0,1,1,1,1,1,1.0,[6]
2020-04-20T13:05:22.155323,2020-04-20T13:05:22.156087,0.000764,1,1,1,1,1,1,1,1.0,[7]
2020-04-20T13:05:22.156197,2020-04-20T13:05:22.156972,0.000775,1,3,1,1,1,1,1,1.0,[9]
2020-04-20T13:05:22.157879,2020-04-20T13:05:22.159684,0.001805,2,3 8,1,2,2,2,2,1.5,"[9, 2]"
2020-04-20T13:05:22.159873,2020-04-20T13:05:22.164308,0.004435,2,0 8,1,3,2,2,2,1.6875,"[2, 6]"
2020-04-20T13:05:22.164503,2020-04-20T13:05:22.166870,0.002367,2,11 10,1,3,2,2,2,1.6875,"[4, 5]"
2020-04-20T13:05:22.167065,2020-04-20T13:05:22.169422,0.002357,2,8 6,1,3,2,2,2,1.6875,"[0, 2]"
2020-04-20T13:05:22.169616,2020-04-20T13:05:22.171957,0.002341,2,7 9,1,3,2,2,2,1.6875,"[3, 1]"
2020-04-20T13:05:22.172149,2020-04-20T13:05:22.174505,0.002356,2,0 2,1,3,2,2,2,1.6875,"[8, 6]"
2020-04-20T13:05:22.174701,2020-04-20T13:05:22.177056,0.002355,2,6 5,1,3,2,2,2,1.6875,"[11, 0]"
2020-04-20T13:05:22.177317,2020-04-20T13:05:22.179669,0.002352,2,2 3,1,3,2,2,2,1.6875,"[9, 8]"
2020-04-20T13:05:22.179935,2020-04-20T13:05:22.182285,0.00235,2,1 1,1,3,2,2,2,1.6875,"[1, 1]"
2020-04-20T13:05:22.182478,2020-04-20T13:05:22.184843,0.002365,2,1 5,1,3,2,2,2,1.6875,"[11, 7]"
2020-04-20T13:05:22.185109,2020-04-20T13:05:22.187445,0.002336,2,9 4,1,3,2,2,2,1.6875,"[10, 3]"
2020-04-20T13:05:22.187709,2020-04-20T13:05:22.190054,0.002345,2,11 7,1,3,2,2,2,1.6875,"[1, 5]"
2020-04-20T13:05:22.190251,2020-04-20T13:05:22.192599,0.002348,2,1 6,1,3,2,2,2,1.6875,"[0, 7]"
2020-04-20T13:05:22.192795,2020-04-20T13:05:22.194340,0.001545,2,8 4,1,2,2,2,2,1.5,"[10, 2]"
2020-04-20T13:05:22.194529,2020-04-20T13:05:22.196882,0.002353,2,9 5,1,3,2,2,2,1.6875,"[11, 3]"
2020-04-20T13:05:22.197149,2020-04-20T13:05:22.199484,0.002335,2,3 11,1,3,2,2,2,1.6875,"[5, 9]"
2020-04-20T13:05:22.199753,2020-04-20T13:05:22.202096,0.002343,2,0 10,1,3,2,2,2,1.6875,"[4, 6]"
2020-04-20T13:05:22.202362,2020-04-20T13:05:22.204711,0.002349,2,4 1,1,3,2,2,2,1.6875,"[7, 10]"
2020-04-20T13:05:22.204978,2020-04-20T13:05:22.207307,0.002329,2,1 6,1,3,2,2,2,1.6875,"[0, 7]"
2020-04-20T13:05:22.207502,2020-04-20T13:05:22.209848,0.002346,2,7 10,1,3,2,2,2,1.6875,"[4, 1]"
2020-04-20T13:05:22.210667,2020-04-20T13:05:22.215612,0.004945,3,2 5 5,1,6,3,3,3,2.3142857142857145,"[11, 11, 8]"
2020-04-20T13:05:22.216047,2020-04-20T13:05:22.216853,0.000806,3,4 11 10,1,1,1,1,1,1.0,[5]
2020-04-20T13:05:22.216963,2020-04-20T13:05:22.220970,0.004007,3,10 1 9,1,5,3,3,3,2.230769230769231,"[3, 7, 4]"
2020-04-20T13:05:22.221387,2020-04-20T13:05:22.225416,0.004029,3,8 11 3,1,5,3,3,3,2.230769230769231,"[9, 5, 2]"
2020-04-20T13:05:22.225765,2020-04-20T13:05:22.231362,0.005597,3,6 4 11,1,7,3,3,3,2.2875,"[10, 5, 0]"
2020-04-20T13:05:22.231864,2020-04-20T13:05:22.237543,0.005679,3,10 5 0,1,7,3,3,3,2.2875,"[11, 4, 9]"
2020-04-20T13:05:22.238048,2020-04-20T13:05:22.241245,0.003197,3,5 6 4,1,4,3,3,3,2.0238095238095237,"[11, 3, 10]"
