start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean,solution
2020-03-09T03:26:25.153682,2020-03-09T03:26:25.181969,0.028287,1,10,1,1,1,1,1,1.0,[4]
2020-03-09T03:26:25.182343,2020-03-09T03:26:25.186532,0.004189,1,1,1,1,1,1,1,1.0,[7]
2020-03-09T03:26:25.186814,2020-03-09T03:26:25.191288,0.004474,1,0,1,1,1,1,1,1.0,[6]
2020-03-09T03:26:25.191620,2020-03-09T03:26:25.195931,0.004311,1,11,1,1,1,1,1,1.0,[5]
2020-03-09T03:26:25.196210,2020-03-09T03:26:25.198572,0.002362,1,4,1,1,1,1,1,1.0,[10]
2020-03-09T03:26:25.198858,2020-03-09T03:26:25.200136,0.001278,1,3,1,1,1,1,1,1.0,[9]
2020-03-09T03:26:25.200420,2020-03-09T03:26:25.201732,0.001312,1,3,1,1,1,1,1,1.0,[9]
2020-03-09T03:26:25.202014,2020-03-09T03:26:25.203291,0.001277,1,2,1,1,1,1,1,1.0,[8]
2020-03-09T03:26:25.203572,2020-03-09T03:26:25.204865,0.001293,1,11,1,1,1,1,1,1.0,[5]
2020-03-09T03:26:25.205143,2020-03-09T03:26:25.206426,0.001283,1,1,1,1,1,1,1,1.0,[7]
2020-03-09T03:26:25.206706,2020-03-09T03:26:25.207986,0.00128,1,10,1,1,1,1,1,1.0,[4]
2020-03-09T03:26:25.208263,2020-03-09T03:26:25.209575,0.001312,1,11,1,1,1,1,1,1.0,[5]
2020-03-09T03:26:25.209852,2020-03-09T03:26:25.211128,0.001276,1,8,1,1,1,1,1,1.0,[2]
2020-03-09T03:26:25.211402,2020-03-09T03:26:25.212695,0.001293,1,1,1,1,1,1,1,1.0,[7]
2020-03-09T03:26:25.212977,2020-03-09T03:26:25.214259,0.001282,1,9,1,1,1,1,1,1.0,[3]
2020-03-09T03:26:25.214537,2020-03-09T03:26:25.215823,0.001286,1,6,1,1,1,1,1,1.0,[0]
2020-03-09T03:26:25.216093,2020-03-09T03:26:25.217391,0.001298,1,0,1,1,1,1,1,1.0,[6]
2020-03-09T03:26:25.217673,2020-03-09T03:26:25.218951,0.001278,1,0,1,1,1,1,1,1.0,[6]
2020-03-09T03:26:25.219232,2020-03-09T03:26:25.220528,0.001296,1,1,1,1,1,1,1,1.0,[7]
2020-03-09T03:26:25.220817,2020-03-09T03:26:25.222139,0.001322,1,3,1,1,1,1,1,1.0,[9]
2020-03-09T03:26:25.232635,2020-03-09T03:26:25.241745,0.00911,2,3 8,1,2,2,2,2,1.5,"[9, 2]"
2020-03-09T03:26:25.242260,2020-03-09T03:26:25.265049,0.022789,2,0 8,1,3,2,2,2,1.6875,"[2, 6]"
2020-03-09T03:26:25.265610,2020-03-09T03:26:25.279277,0.013667,2,11 10,1,3,2,2,2,1.6875,"[4, 5]"
2020-03-09T03:26:25.279580,2020-03-09T03:26:25.293423,0.013843,2,8 6,1,3,2,2,2,1.6875,"[0, 2]"
2020-03-09T03:26:25.293700,2020-03-09T03:26:25.307348,0.013648,2,7 9,1,3,2,2,2,1.6875,"[3, 1]"
2020-03-09T03:26:25.307628,2020-03-09T03:26:25.312264,0.004636,2,0 2,1,3,2,2,2,1.6875,"[8, 6]"
2020-03-09T03:26:25.312544,2020-03-09T03:26:25.315249,0.002705,2,6 5,1,3,2,2,2,1.6875,"[11, 0]"
2020-03-09T03:26:25.315632,2020-03-09T03:26:25.318334,0.002702,2,2 3,1,3,2,2,2,1.6875,"[9, 8]"
2020-03-09T03:26:25.318721,2020-03-09T03:26:25.321412,0.002691,2,1 1,1,3,2,2,2,1.6875,"[7, 7]"
2020-03-09T03:26:25.321798,2020-03-09T03:26:25.324447,0.002649,2,1 5,1,3,2,2,2,1.6875,"[11, 7]"
2020-03-09T03:26:25.324870,2020-03-09T03:26:25.327529,0.002659,2,9 4,1,3,2,2,2,1.6875,"[10, 3]"
2020-03-09T03:26:25.327915,2020-03-09T03:26:25.330609,0.002694,2,11 7,1,3,2,2,2,1.6875,"[1, 5]"
2020-03-09T03:26:25.330890,2020-03-09T03:26:25.333576,0.002686,2,1 6,1,3,2,2,2,1.6875,"[7, 0]"
2020-03-09T03:26:25.334040,2020-03-09T03:26:25.335935,0.001895,2,8 4,1,2,2,2,2,1.5,"[10, 2]"
2020-03-09T03:26:25.336205,2020-03-09T03:26:25.338911,0.002706,2,9 5,1,3,2,2,2,1.6875,"[11, 3]"
2020-03-09T03:26:25.339297,2020-03-09T03:26:25.341984,0.002687,2,3 11,1,3,2,2,2,1.6875,"[5, 9]"
2020-03-09T03:26:25.342380,2020-03-09T03:26:25.345077,0.002697,2,0 10,1,3,2,2,2,1.6875,"[4, 6]"
2020-03-09T03:26:25.345467,2020-03-09T03:26:25.348117,0.00265,2,4 1,1,3,2,2,2,1.6875,"[7, 10]"
2020-03-09T03:26:25.348503,2020-03-09T03:26:25.351191,0.002688,2,1 6,1,3,2,2,2,1.6875,"[7, 0]"
2020-03-09T03:26:25.351573,2020-03-09T03:26:25.354261,0.002688,2,7 10,1,3,2,2,2,1.6875,"[4, 1]"
2020-03-09T03:26:25.355064,2020-03-09T03:26:25.359764,0.0047,3,2 5 5,1,5,3,3,3,2.230769230769231,"[11, 11, 8]"
2020-03-09T03:26:25.360380,2020-03-09T03:26:25.361327,0.000947,3,4 11 10,1,1,1,1,1,1.0,[5]
2020-03-09T03:26:25.361479,2020-03-09T03:26:25.366059,0.00458,3,10 1 9,1,5,3,3,3,2.230769230769231,"[3, 7, 4]"
2020-03-09T03:26:25.366678,2020-03-09T03:26:25.371298,0.00462,3,8 11 3,1,5,3,3,3,2.230769230769231,"[9, 5, 2]"
2020-03-09T03:26:25.371807,2020-03-09T03:26:25.376400,0.004593,3,6 4 11,1,5,3,3,3,2.230769230769231,"[10, 5, 0]"
2020-03-09T03:26:25.377061,2020-03-09T03:26:25.381695,0.004634,3,10 5 0,1,5,3,3,3,2.0384615384615383,"[6, 4, 11]"
2020-03-09T03:26:25.382311,2020-03-09T03:26:25.387803,0.005492,3,5 6 4,1,6,3,3,3,2.2096774193548385,"[10, 0, 11]"
2020-03-09T03:26:25.388439,2020-03-09T03:26:25.408691,0.020252,3,9 11 3,1,19,5,3,4,3.201923076923077,"[5, 11, 9, 5, 3]"
2020-03-09T03:26:25.410314,2020-03-09T03:26:25.416499,0.006185,3,11 8 8,1,5,3,3,3,2.230769230769231,"[2, 2, 5]"
2020-03-09T03:26:25.417073,2020-03-09T03:26:25.421676,0.004603,3,9 6 9,1,5,3,3,3,2.230769230769231,"[3, 0, 3]"
2020-03-09T03:26:25.422184,2020-03-09T03:26:25.425682,0.003498,3,3 2 7,1,4,3,3,3,2.261904761904762,"[1, 9, 8]"
2020-03-09T03:26:25.426153,2020-03-09T03:26:25.431720,0.005567,3,1 2 10,1,5,3,3,3,2.0384615384615383,"[4, 8, 7]"
2020-03-09T03:26:25.433011,2020-03-09T03:26:25.439858,0.006847,3,6 9 1,1,5,3,3,3,2.35,"[7, 3, 0]"
2020-03-09T03:26:25.441114,2020-03-09T03:26:25.448021,0.006907,3,9 7 8,1,5,3,3,3,2.0384615384615383,"[2, 1, 3]"
2020-03-09T03:26:25.449257,2020-03-09T03:26:25.457531,0.008274,3,0 10 11,1,6,3,3,3,2.3142857142857145,"[4, 5, 6]"
2020-03-09T03:26:25.458958,2020-03-09T03:26:25.465775,0.006817,3,4 5 1,1,5,3,3,3,2.230769230769231,"[7, 11, 10]"
2020-03-09T03:26:25.467008,2020-03-09T03:26:25.476524,0.009516,3,2 7 0,1,7,3,3,3,2.4125,"[1, 6, 8]"
2020-03-09T03:26:25.477821,2020-03-09T03:26:25.490461,0.01264,3,8 8 1,1,9,3,3,3,2.5,"[7, 2, 2]"
2020-03-09T03:26:25.492408,2020-03-09T03:26:25.498006,0.005598,3,9 2 5,1,4,3,3,3,2.0238095238095237,"[11, 8, 3]"
2020-03-09T03:26:25.499014,2020-03-09T03:26:25.507977,0.008963,3,8 0 9,1,5,3,3,3,2.230769230769231,"[3, 6, 2]"
2020-03-09T03:26:25.518140,2020-03-09T03:26:25.565203,0.047063,4,0 1 5 4,1,9,4,4,4,2.975,"[11, 10, 6, 7]"
2020-03-09T03:26:25.567424,2020-03-09T03:26:26.341640,0.774216,4,1 1 11 7,1,186,68,4,9,5.723823975720789,"[5, 7, 2, 8, 7, 2, 8, 1, 3, 9, 1, 1, 1, 7, 7, 2, 8, 9, 7, 3, 9, 7, 1, 10, 4, 2, 8, 1, 3, 3, 7, 9, 3, 3, 3, 3, 2, 8, 1, 7, 9, 9, 9, 2, 8, 7, 9, 1, 7, 9, 3, 3, 1, 10, 4, 1, 9, 5, 11, 11, 7, 1, 2, 8, 1, 5, 7, 7]"
2020-03-09T03:26:26.346573,2020-03-09T03:26:26.369915,0.023342,4,0 1 3 2,1,6,4,4,4,2.532258064516129,"[8, 9, 7, 6]"
2020-03-09T03:26:26.370613,2020-03-09T03:26:26.376082,0.005469,4,3 6 2 6,1,6,4,4,4,2.693548387096774,"[0, 8, 0, 9]"
2020-03-09T03:26:26.376683,2020-03-09T03:26:26.485825,0.109142,4,7 4 6 11,1,39,4,4,8,5.783365570599613,"[5, 0, 10, 1]"
2020-03-09T03:26:26.490834,2020-03-09T03:26:26.625459,0.134625,4,8 8 0 8,1,58,30,4,8,4.478494623655914,"[8, 6, 8, 2, 2, 8, 0, 5, 11, 2, 6, 8, 8, 2, 0, 8, 6, 0, 2, 6, 2, 2, 2, 8, 8, 0, 2, 6, 2, 2]"
2020-03-09T03:26:26.632468,2020-03-09T03:26:26.649347,0.016879,4,2 10 10 7,1,12,4,4,4,2.8114754098360657,"[1, 10, 10, 8]"
2020-03-09T03:26:26.652009,2020-03-09T03:26:26.703915,0.051906,4,9 1 1 8,1,22,4,4,6,3.8629032258064515,"[2, 1, 1, 3]"
2020-03-09T03:26:26.705390,2020-03-09T03:26:26.860548,0.155158,4,2 7 8 11,1,33,10,4,6,4.33235294117647,"[5, 1, 2, 8, 8, 2, 7, 2, 1, 8]"
2020-03-09T03:26:26.864917,2020-03-09T03:26:27.072085,0.207168,4,4 9 11 3,1,54,4,4,8,5.067581837381204,"[9, 5, 3, 10]"
2020-03-09T03:26:27.075474,2020-03-09T03:26:27.081184,0.00571,4,8 0 5 9,1,6,4,4,4,2.532258064516129,"[3, 11, 6, 2]"
2020-03-09T03:26:27.081871,2020-03-09T03:26:27.090046,0.008175,4,2 0 4 5,1,9,4,4,4,2.975,"[10, 11, 6, 8]"
2020-03-09T03:26:27.091082,2020-03-09T03:26:27.106821,0.015739,4,3 10 1 5,1,17,4,4,6,3.845528455284553,"[11, 7, 4, 9]"
2020-03-09T03:26:27.108790,2020-03-09T03:26:27.115959,0.007169,4,2 6 2 11,1,8,4,4,4,2.6707317073170733,"[5, 8, 0, 8]"
2020-03-09T03:26:27.116804,2020-03-09T03:26:27.134484,0.01768,4,11 3 4 2,1,11,4,4,4,2.725,"[8, 10, 9, 5]"
2020-03-09T03:26:27.137407,2020-03-09T03:26:27.148509,0.011102,4,7 3 3 7,1,8,4,4,4,2.426829268292683,"[1, 3, 3, 1]"
2020-03-09T03:26:27.150567,2020-03-09T03:26:27.160513,0.009946,4,3 0 10 3,1,7,4,4,4,2.75,"[9, 4, 6, 9]"
